@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
61.438,46.145,33.089,28.351,49.817,82.405,82.118,68.501,1.654,62.100,Nascido
60.750,45.442,31.116,29.635,48.533,81.483,79.858,65.686,1.679,59.600,Nascido
59.734,45.675,33.616,26.120,45.670,78.421,79.416,65.251,1.717,56.900,Nascido
59.574,44.945,30.035,29.539,43.284,74.676,77.610,63.010,1.725,55.800,Nascido
56.090,42.260,29.428,26.662,37.301,67.621,68.695,52.451,1.813,50.000,Nascido
60.080,44.754,30.404,29.677,45.314,78.629,77.702,63.008,1.735,61.900,Nascido
56.167,42.249,29.075,27.092,36.722,67.497,68.740,52.495,1.838,52.200,Nascido
58.042,44.982,29.655,28.387,43.958,76.131,76.178,61.491,1.732,55.200,Nascido
60.288,46.729,30.903,29.385,49.313,81.950,82.203,68.928,1.662,60.400,Nascido
59.413,46.132,30.576,28.837,45.758,78.526,80.011,66.204,1.716,58.600,Nascido
60.308,46.001,31.152,29.156,48.289,82.098,80.633,66.821,1.700,62.500,Nascido
60.483,45.692,31.133,29.351,48.259,80.801,80.136,66.118,1.674,64.400,Nascido
56.661,42.880,30.326,26.337,40.346,70.170,70.500,54.553,1.739,53.900,Nascido
56.524,44.233,30.653,25.871,38.310,68.011,73.158,57.906,1.775,53.500,Nascido
56.639,45.370,30.067,26.574,42.544,72.274,75.626,61.046,1.699,55.800,Nascido
57.985,44.193,29.117,28.867,39.353,68.837,74.460,59.296,1.749,55.500,Nascido
56.815,44.006,31.446,25.371,40.449,69.106,72.989,57.610,1.708,53.600,Nascido
57.813,43.235,29.156,28.657,42.551,72.500,72.299,56.585,1.704,54.900,Nascido
57.452,43.160,28.851,28.601,42.422,69.937,71.800,56.035,1.649,55.200,Nascido
57.087,45.525,29.406,27.683,38.367,67.066,76.384,61.951,1.748,58.900,Nascido
57.411,45.381,29.826,27.587,45.434,75.724,76.406,61.910,1.667,56.400,Nascido
63.367,45.026,35.209,28.158,50.741,83.161,81.616,67.266,1.639,58.200,Nascido
60.925,45.381,33.602,27.324,46.626,78.712,79.946,65.698,1.688,57.900,Nascido
59.984,44.675,30.634,29.351,43.863,74.433,77.440,62.687,1.697,57.300,Nascido
57.065,42.736,28.907,28.158,38.083,67.517,70.564,54.570,1.773,50.000,Morreu
61.810,45.410,31.775,30.035,47.467,77.983,80.852,66.738,1.643,59.800,Nascido
61.739,47.153,32.269,29.471,53.112,84.400,84.644,71.875,1.589,62.200,Nascido
58.790,44.483,30.903,27.887,42.208,73.780,75.866,60.909,1.748,54.600,Nascido
59.061,46.500,30.176,28.886,44.158,75.244,80.452,66.867,1.704,60.200,Nascido
59.175,44.894,30.338,28.837,42.562,73.632,77.111,62.448,1.730,60.000,Nascido
59.820,45.122,30.424,29.396,43.260,73.554,78.236,63.772,1.700,61.700,Nascido
