58.70,42.91,30.12,28.59,69.55,53.30,1063.87
61.06,44.84,32.16,28.90,69.96,58.10,1065.88
57.64,42.94,31.45,26.18,63.10,52.40,1073.82
58.96,44.06,32.65,26.31,68.46,53.00,1057.88
57.09,42.51,29.90,27.18,66.86,51.10,1075.90
54.94,43.16,29.09,25.85,65.00,52.50,1071.47
57.38,41.54,30.45,26.94,62.73,50.00,1063.97
58.66,45.08,29.95,28.71,69.71,56.20,1080.69
60.10,44.70,30.81,29.29,71.97,60.00,1076.98
59.02,45.21,29.90,29.12,72.57,57.10,1071.16
57.70,43.41,30.12,27.59,67.70,52.70,1062.52
55.51,42.70,27.89,27.62,63.14,51.30,1064.40
58.56,44.75,32.67,25.89,67.31,58.70,1063.21
55.72,44.68,30.87,24.85,67.78,53.00,1060.00
58.72,43.28,29.40,29.32,63.76,54.10,1071.27
57.81,43.76,30.92,26.89,66.60,55.30,1069.56
61.06,45.44,30.99,30.07,72.07,62.30,1068.31
60.32,43.17,31.28,29.04,67.18,55.30,1069.56
58.36,43.53,30.70,27.66,66.19,56.30,1068.20
59.16,44.88,30.33,28.84,71.23,60.00,1067.38
57.72,43.68,29.60,28.12,64.49,55.70,1066.96
58.67,45.39,31.59,27.09,71.35,59.60,1081.47
61.35,44.75,30.92,30.43,70.12,58.70,1067.08
61.20,45.91,31.85,29.35,72.73,62.10,1075.97
59.04,44.04,31.04,28.00,72.51,55.20,1071.78
60.20,44.85,30.50,29.70,76.33,58.50,1069.29
63.31,43.32,33.79,29.52,75.36,58.80,1072.80
62.06,49.00,31.15,30.90,85.76,67.10,1064.64
54.47,45.19,27.62,26.85,71.86,58.60,1069.16
55.11,44.27,28.05,27.06,69.77,54.40,1077.21
59.98,44.36,30.47,29.51,75.42,57.40,1060.84
59.54,45.23,30.63,28.91,76.75,60.00,1063.59
59.52,43.96,29.87,29.66,74.53,55.50,1063.13
58.22,43.68,30.35,27.87,71.94,54.20,1056.48
60.04,42.94,30.38,29.66,71.91,56.30,1070.24
57.73,41.93,30.87,26.87,68.59,53.60,1069.86
55.45,44.68,28.37,27.09,70.98,52.70,1054.00
59.43,44.58,30.23,29.20,75.88,60.00,1071.20
59.70,42.64,31.37,28.34,71.47,53.00,1062.13
57.59,43.21,31.34,26.25,70.29,54.20,1075.38
55.45,41.41,28.87,26.59,64.42,48.20,1078.56
59.02,42.70,31.40,27.62,70.38,56.60,1069.83
59.21,43.86,30.50,28.71,72.02,56.30,1062.14
60.70,45.35,32.74,27.96,78.73,60.00,1057.95
60.85,43.17,31.84,29.01,72.42,55.40,1069.42
64.39,45.23,33.33,31.06,80.56,63.10,1054.84
62.22,46.82,32.16,30.07,81.00,64.60,1074.51
58.71,42.59,33.74,24.97,69.15,54.20,1060.62
57.99,45.66,30.28,27.71,75.93,56.40,1068.07
57.36,43.28,31.17,26.19,70.70,53.00,1066.41
60.95,44.08,33.77,27.18,75.21,60.30,1061.37
55.14,42.99,28.30,26.84,67.10,51.70,1057.31
59.33,45.50,32.44,26.89,75.24,57.60,1058.65
58.05,43.42,29.04,29.01,70.38,54.10,1079.84
56.13,43.36,29.33,26.81,69.50,51.60,1068.40
55.80,43.48,29.14,26.66,69.80,52.20,1074.14
56.05,41.99,28.91,27.14,67.02,51.50,1066.33
59.79,44.96,29.90,29.88,75.81,60.20,1067.13
58.52,44.21,30.88,27.64,72.40,54.60,1064.27
57.55,43.95,29.04,28.51,71.12,56.30,1066.17
56.86,42.83,28.80,28.06,68.45,52.80,1053.89
58.54,43.60,30.14,28.41,72.17,55.70,1066.96
59.38,44.80,31.94,27.43,75.03,59.50,1069.93
55.07,42.26,28.41,26.66,65.89,50.40,1058.93
57.76,41.58,30.18,27.59,65.30,53.30,1063.87
61.48,45.17,31.13,30.35,78.33,60.00,1059.82
60.82,46.19,31.03,29.79,80.06,60.40,1051.99
62.12,44.28,31.20,30.92,77.73,60.50,1057.43
60.97,45.74,32.03,28.94,79.24,60.10,1048.60
62.47,44.79,34.40,28.07,77.21,62.00,1072.37
57.37,45.01,28.83,28.55,73.43,54.30,1077.36
58.93,45.85,30.72,28.21,76.28,59.50,1079.65
59.25,44.44,29.87,29.39,73.94,59.90,1077.12
58.25,44.19,29.39,28.87,72.68,56.50,1057.92
57.80,43.67,29.04,28.76,72.33,55.30,1077.92
56.64,42.10,29.82,26.82,66.21,50.00,1073.12
60.45,46.41,31.60,28.85,79.35,61.70,1067.19
57.37,44.35,29.66,27.70,72.68,55.40,1069.42
56.56,41.16,28.51,28.05,65.60,50.00,1073.12
57.22,43.36,29.98,27.24,70.36,54.20,1081.83
54.49,44.95,30.01,24.48,70.47,54.00,1071.41
56.36,42.53,28.46,27.91,67.15,50.50,1070.04
57.38,44.05,30.23,27.16,72.80,54.70,1055.91
57.84,43.76,31.42,26.41,71.22,55.40,1063.25
59.93,43.06,31.47,28.46,72.29,55.70,1060.85
59.17,43.38,30.10,29.08,72.41,57.50,1074.63
59.26,42.65,30.50,28.76,71.01,56.80,1065.53
57.12,44.23,28.58,28.55,70.78,58.10,1069.81
58.86,44.45,30.60,28.26,73.33,55.50,1077.61
59.29,44.91,29.76,29.54,76.19,61.20,1069.66
58.27,44.46,30.63,27.64,73.23,57.20,1071.02
57.72,44.75,28.98,28.74,73.56,56.40,1070.10
56.39,43.31,30.95,25.44,68.85,52.30,1071.77
54.89,42.28,27.96,26.94,65.97,49.80,1059.71
62.83,43.03,31.54,31.29,75.58,55.10,1069.84
60.87,44.28,31.17,29.70,76.02,57.30,1076.94
59.70,44.16,32.12,27.59,73.62,57.20,1071.02
61.34,44.70,31.81,29.54,76.02,59.90,1079.06
60.82,43.71,31.76,29.06,73.24,57.70,1078.36
59.19,45.33,30.26,28.93,76.25,57.70,1074.34
55.72,44.94,28.87,26.85,72.68,55.40,1075.67
57.49,42.68,29.62,27.87,69.20,54.00,1075.69
58.08,44.78,30.40,27.68,73.66,58.90,1078.57
58.02,43.39,30.50,27.52,70.08,51.80,1065.91
59.04,43.79,30.07,28.97,71.95,55.30,1065.43
59.35,44.78,30.18,29.18,76.24,57.30,1076.94
56.00,42.89,30.50,25.50,68.29,50.40,1070.20
60.77,41.45,30.63,30.13,70.31,53.90,1075.84
57.44,44.39,29.84,27.60,72.13,57.20,1073.04
59.92,44.76,31.34,28.58,75.60,58.70,1069.03
58.38,42.28,30.45,27.93,69.53,53.80,1073.85
57.88,43.56,31.22,26.66,71.17,54.10,1079.84
56.57,41.99,30.40,26.16,67.71,51.20,1075.74
60.79,43.64,33.30,27.49,73.29,56.10,1072.56
58.50,44.44,32.15,26.35,74.31,59.80,1083.13
55.12,41.79,29.95,25.17,64.65,50.20,1052.51
55.26,42.45,28.87,26.39,67.06,52.40,1082.72
57.89,43.61,30.08,27.81,71.28,52.20,1069.72
61.29,42.20,30.88,30.40,71.41,52.20,1078.58
60.26,43.86,31.03,29.23,73.95,57.40,1076.79
61.29,44.21,31.63,29.66,75.47,59.50,1083.59
58.93,43.38,30.31,28.62,71.26,54.60,1083.32
59.93,46.35,30.95,28.98,79.20,60.00,1080.87
60.28,47.88,30.42,29.85,82.00,64.80,1077.84
57.71,45.10,31.75,25.97,74.17,60.00,1071.20
61.60,45.74,33.17,28.44,79.98,65.70,1083.78
55.08,44.17,27.91,27.17,69.91,51.90,1070.17
57.31,45.41,30.71,26.60,73.94,59.60,1085.42
56.50,43.14,28.73,27.77,69.37,52.50,1080.31
58.72,43.16,29.60,29.12,71.36,55.40,1065.30
56.40,43.37,29.09,27.31,69.17,54.00,1077.84
56.79,43.48,31.17,25.62,70.54,52.70,1075.55
58.75,43.62,29.77,28.98,72.32,56.00,1083.10
61.00,43.44,32.37,28.64,74.29,57.60,1068.49
59.53,43.07,30.63,28.90,72.49,56.60,1084.20
63.23,43.41,34.37,28.87,75.59,59.50,1077.70
59.70,41.84,32.24,27.46,69.49,53.40,1070.14
57.76,42.32,30.42,27.34,68.90,54.10,1073.40
56.32,41.99,29.93,26.39,65.38,53.50,1067.86
59.20,45.16,31.62,27.59,75.46,55.90,1074.92
63.82,44.73,32.67,31.15,80.40,61.40,1076.93
61.04,43.71,32.15,28.89,74.49,56.10,1068.47
61.34,42.93,31.78,29.57,72.78,54.10,1077.68
62.47,45.35,31.50,30.97,79.16,60.00,1067.38
59.54,44.73,30.13,29.41,74.96,58.30,1067.59
56.61,43.78,28.71,27.91,70.91,50.00,1057.20
58.89,46.78,30.85,28.05,78.69,61.80,1070.77
58.58,43.73,32.42,26.16,72.57,57.60,1078.51
56.95,42.41,29.87,27.09,67.77,50.30,1072.64
61.02,45.58,30.67,30.35,78.12,60.00,1073.12
60.56,45.37,30.42,30.14,77.55,60.00,1069.29
61.06,45.69,31.81,29.26,79.69,60.00,1075.04
57.65,45.01,29.32,28.33,74.49,57.60,1082.58
58.45,43.91,30.12,28.34,72.25,56.30,1080.53
55.64,43.83,29.95,25.69,69.98,53.20,1066.14
61.02,45.21,31.90,29.12,78.24,60.00,1080.87
59.08,43.01,30.18,28.91,72.02,54.40,1085.82
58.43,44.33,29.45,28.98,72.87,55.00,1076.27
57.97,43.93,29.12,28.85,71.16,55.00,1095.61
63.73,45.99,32.48,31.25,82.06,66.10,1081.44
59.39,42.21,31.34,28.05,69.74,53.00,1057.88
58.17,44.14,29.85,28.32,72.84,57.10,1079.28
57.97,42.66,29.87,28.10,70.27,54.70,1087.46
63.80,44.98,35.17,28.64,80.67,61.00,1068.04
58.68,43.08,30.47,28.21,71.77,53.00,1068.57
61.19,44.64,31.59,29.60,75.39,58.60,1077.03
60.98,44.18,30.62,30.37,74.89,57.70,1068.36
58.19,42.46,32.01,26.18,68.92,50.00,1059.45
62.28,43.08,34.82,27.46,75.09,58.90,1084.54
55.07,44.20,29.79,25.29,69.92,51.80,1074.77
61.81,45.23,31.90,29.90,78.27,62.80,1075.03
60.11,43.64,32.44,27.67,73.42,57.70,1072.34
57.81,44.73,32.67,25.14,72.87,55.20,1093.05
58.29,45.98,29.90,28.39,76.95,61.60,1072.89
60.60,45.03,33.46,27.14,76.74,57.40,1060.84
61.06,46.54,32.92,28.14,80.63,63.20,1076.34
55.55,43.73,28.39,27.16,69.50,54.00,1077.84
57.72,44.68,29.12,28.60,73.40,58.60,1073.08
56.74,42.94,29.12,27.62,69.47,51.60,1072.85
58.37,46.52,31.22,27.15,78.13,62.70,1075.16
57.52,44.46,29.14,28.39,73.30,56.50,1074.04
58.47,42.74,33.15,25.32,70.64,55.10,1074.02
60.00,43.44,31.62,28.39,72.54,55.10,1063.63
59.92,45.13,32.34,27.59,76.95,61.50,1073.02
62.35,44.01,31.67,30.67,76.67,61.30,1062.11
61.70,44.66,32.87,28.84,77.31,64.00,1068.09
60.62,44.53,30.70,29.93,76.48,56.70,1071.72
60.70,43.28,30.63,30.07,72.82,53.10,1066.27
60.63,43.10,33.08,27.56,72.36,55.70,1077.30
62.00,44.36,32.74,29.26,76.39,59.70,1085.26
62.34,44.60,33.30,29.04,77.77,60.40,1072.58
58.55,42.58,29.94,28.61,68.63,54.10,1079.84
54.73,44.66,29.01,25.72,70.58,51.10,1071.38
56.59,44.78,28.43,28.16,72.20,55.30,1073.72
55.39,43.31,29.23,26.16,68.36,53.50,1070.00
54.96,42.24,29.77,25.20,66.28,48.90,1049.51
62.33,43.73,34.42,27.91,75.96,57.40,1066.76
60.32,46.11,31.91,28.41,78.71,62.70,1069.65
56.79,44.23,28.89,27.91,72.52,54.20,1081.83
59.21,44.36,32.24,26.96,73.82,57.30,1066.89
56.25,42.94,29.87,26.39,68.34,52.50,1073.67
57.81,44.01,29.16,28.66,71.89,55.90,1070.79
59.15,45.33,30.45,28.71,75.91,60.00,1078.92
57.84,43.26,32.42,25.42,69.71,53.50,1067.86
61.67,44.55,31.20,30.47,76.75,61.40,1078.82
59.25,43.69,31.90,27.35,73.93,58.00,1071.93
60.45,43.33,30.72,29.73,74.32,58.00,1064.04
61.47,43.86,31.72,29.76,75.35,59.50,1073.80
62.92,41.54,32.47,30.45,72.00,56.50,1069.96
57.91,42.06,28.98,28.93,67.63,52.10,1078.75
54.80,43.24,28.89,25.91,68.20,49.70,1078.27
60.00,43.94,30.37,29.63,73.94,54.80,1068.17
57.16,45.60,29.70,27.46,74.49,59.50,1079.65
59.33,44.94,30.56,28.76,75.64,58.10,1063.92
62.87,43.76,32.72,30.15,76.84,59.90,1084.94
59.65,43.00,30.07,29.58,71.20,56.00,1081.01
58.42,43.13,30.09,28.34,72.04,52.10,1065.49
58.08,43.70,29.79,28.30,71.21,53.80,1073.85
57.41,42.81,29.73,27.68,69.64,54.40,1081.50
57.84,44.01,29.16,28.68,71.95,56.70,1075.79
59.09,43.07,31.29,27.80,69.77,53.60,1061.37
61.06,45.94,31.28,29.79,78.52,60.00,1071.20
62.37,44.28,31.94,30.43,77.27,60.00,1073.12
58.04,44.73,30.38,27.66,73.19,58.30,1077.47
55.69,42.64,29.60,26.09,67.27,51.60,1077.34
56.27,44.23,28.91,27.37,70.85,52.40,1054.34
58.77,44.71,32.13,26.64,73.62,60.00,1080.87
58.56,44.50,31.15,27.41,73.93,59.50,1089.56
56.15,41.87,29.34,26.81,66.48,50.10,1070.66
64.09,45.00,34.69,29.41,80.09,63.60,1075.81
56.99,45.19,28.62,28.37,73.02,58.00,1073.91
57.86,42.53,31.45,26.41,68.87,52.70,1073.36
60.43,47.09,30.45,29.98,81.46,63.90,1062.87
59.26,44.11,30.75,28.51,72.57,56.40,1074.18
57.59,43.95,29.79,27.80,72.15,54.80,1085.13
59.68,42.31,32.22,27.46,70.97,54.90,1074.32
56.95,42.41,28.85,28.10,68.94,54.30,1083.83
58.68,44.27,29.57,29.11,67.61,53.90,1075.84
58.89,43.74,29.57,29.32,72.09,54.00,1077.84
63.35,45.75,31.70,31.65,79.73,65.60,1082.13
63.15,44.23,32.30,30.85,75.11,60.00,1073.12
61.16,42.96,31.09,30.07,67.53,54.40,1081.50
60.51,43.80,32.39,28.11,71.70,57.40,1082.90
56.97,45.17,29.37,27.60,71.19,56.70,1071.72
60.38,43.78,31.17,29.20,68.67,58.40,1075.34
59.82,42.18,30.01,29.82,74.79,54.20,1077.52
59.62,43.85,33.32,26.30,68.95,55.20,1071.78
57.49,44.14,31.53,25.97,68.88,56.90,1071.44
58.66,45.33,31.72,26.94,69.89,57.10,1073.18
58.74,43.36,30.47,28.26,72.37,54.80,1089.45
59.99,44.84,31.62,28.37,72.63,61.10,1085.01
59.63,45.55,31.97,27.66,74.73,60.00,1080.87
58.45,48.24,30.89,27.56,82.65,66.20,1074.27
61.31,45.73,32.92,28.39,76.34,63.90,1071.80
58.06,43.81,30.51,27.55,74.80,56.60,1080.05
62.77,43.19,31.63,31.13,76.81,60.00,1084.78
59.02,43.21,30.38,28.64,73.44,55.30,1077.92
61.62,43.01,31.45,30.18,71.27,56.90,1073.46
59.36,43.70,31.56,27.80,71.82,57.70,1074.34
58.43,45.35,32.74,25.69,78.18,55.80,1068.88
58.31,44.75,32.67,25.64,73.39,54.80,1070.26
58.23,42.43,31.12,27.12,68.33,50.30,1063.55
63.14,46.55,32.44,30.70,80.33,64.80,1076.05
60.44,45.74,30.75,29.68,78.41,59.00,1082.39
59.04,44.76,32.55,26.49,71.06,56.70,1069.69
59.54,45.48,32.15,27.39,77.45,57.10,1073.18
60.77,46.21,33.13,27.64,79.41,62.20,1073.97
56.32,41.99,29.66,26.66,62.94,50.50,1058.80
