@relation eggDataIMP3

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute class {0,1}

@data
61.11,48.25,31.85,29.27,72.79,8501.94,8645.29,74.50,0
60.02,45.61,30.38,29.64,62.77,7713.53,7948.46,65.37,0
59.38,44.79,32.97,26.41,61.38,7606.08,7714.91,62.38,1
60.67,46.79,30.35,30.32,67.60,8109.58,8272.14,69.54,0
60.12,43.77,33.19,26.93,58.38,7392.19,7568.69,60.31,1
61.46,47.13,32.49,28.97,69.66,8270.54,8430.24,71.47,1
59.29,45.84,30.98,28.31,64.47,7845.80,7927.13,65.25,1
58.03,46.02,29.93,28.11,61.97,7590.72,7838.00,64.35,1
59.17,45.08,31.24,27.93,61.33,7598.53,7751.91,62.97,0
59.59,43.43,32.34,27.25,56.72,7241.85,7443.50,58.85,0
59.07,44.49,33.43,25.64,59.41,7436.44,7622.51,61.23,0
57.84,46.23,30.79,27.05,63.88,7785.78,7865.16,64.73,1
61.19,46.40,33.37,27.82,67.91,8137.83,8244.45,68.99,1
62.57,46.11,32.44,30.13,67.52,8141.79,8316.32,69.65,1
60.89,45.23,34.12,26.77,64.36,7865.90,7960.44,65.23,0
60.65,45.31,34.24,26.41,63.00,7743.54,7955.00,65.20,1
56.46,44.38,28.47,27.99,56.64,7180.75,7336.67,58.22,1
58.76,45.90,31.27,27.49,63.45,7754.17,7886.75,64.82,1
63.26,47.40,32.02,31.24,73.95,8620.19,8676.61,74.41,0
59.65,46.31,33.97,25.68,64.59,7856.71,8073.23,66.99,0
60.62,44.02,35.23,25.39,60.60,7568.08,7677.53,61.51,1
61.28,45.48,34.26,27.03,64.35,7856.56,8053.75,66.37,1
60.01,46.90,30.24,29.77,66.80,8024.93,8228.83,69.11,0
61.33,45.98,31.25,30.08,66.06,7999.19,8161.64,67.89,1
59.49,46.07,30.38,29.11,65.00,7876.11,7995.68,66.12,1
60.05,44.08,31.94,28.11,58.79,7427.15,7625.59,61.10,0
61.78,43.70,35.17,26.61,60.73,7567.42,7718.95,61.79,0
61.53,46.96,33.32,28.20,69.04,8198.22,8401.55,71.04,1
60.25,46.42,30.62,29.63,65.46,7936.37,8148.83,67.98,1
61.95,45.51,31.60,30.35,65.60,7987.18,8120.80,67.18,1
59.71,47.87,29.97,29.74,69.10,8198.49,8413.37,71.66,1
57.74,44.20,30.12,27.61,57.15,7233.21,7424.39,59.06,0
61.89,45.04,31.95,29.93,64.62,7894.77,8012.11,65.74,1
59.01,45.15,29.74,29.27,61.24,7588.41,7749.28,62.99,0
59.31,43.87,33.22,26.09,58.19,7370.43,7512.35,59.76,1
60.45,47.45,32.64,27.81,70.01,8285.18,8400.05,71.28,0
61.13,47.30,31.17,29.96,69.82,8276.26,8433.67,71.62,0
58.29,44.68,29.52,28.77,59.73,7460.94,7577.31,60.92,1
62.28,45.65,32.54,29.74,66.57,8053.66,8185.90,67.96,1
60.26,46.15,33.04,27.22,65.29,7919.81,8094.57,67.20,1
65.49,48.24,34.75,30.74,76.51,8824.86,9106.26,79.78,1
60.51,46.63,32.02,28.49,67.01,8053.82,8221.47,68.87,1
68.45,49.64,34.86,33.59,85.64,9566.52,9756.79,88.30,1
60.34,44.46,33.84,26.50,60.47,7559.81,7737.67,62.43,1
63.91,44.98,32.07,31.85,65.20,7988.92,8200.73,67.71,0
62.86,46.53,34.69,28.16,70.30,8332.58,8443.75,71.25,1
60.11,45.73,32.88,27.22,64.53,7872.63,7988.05,65.82,1
60.62,46.04,34.22,26.39,64.50,7854.55,8111.31,67.29,1
62.81,48.20,33.54,29.27,73.98,8606.90,8813.08,76.39,0
61.17,45.58,33.97,27.20,64.81,7897.75,8063.90,66.55,0
61.04,44.22,34.67,26.37,61.36,7602.60,7756.68,62.48,1
57.96,46.13,31.74,26.22,62.72,7687.52,7857.44,64.57,1
62.76,45.63,31.99,30.77,65.86,8009.35,8227.90,68.41,1
61.87,46.03,32.45,29.42,67.30,8086.82,8227.62,68.63,1
62.15,46.56,33.97,28.18,67.95,8147.57,8378.61,70.56,0
60.94,45.58,32.47,28.47,64.67,7888.74,8037.15,66.30,1
58.65,44.81,32.47,26.18,60.22,7500.63,7646.46,61.66,1
59.99,43.88,33.29,26.70,58.53,7390.68,7578.72,60.47,1
59.99,44.13,34.29,25.70,59.95,7513.03,7635.55,61.16,1
61.09,46.51,31.94,29.15,66.74,8027.39,8255.00,69.20,1
57.36,45.29,32.97,24.39,60.44,7487.22,7626.43,61.61,1
62.48,45.04,33.65,28.83,65.16,7966.63,8073.63,66.37,0
58.56,44.70,31.04,27.52,59.65,7461.64,7611.74,61.28,1
58.90,43.81,33.97,24.93,58.57,7372.44,7464.40,59.19,0
60.65,46.06,34.24,26.41,65.75,7956.19,8118.88,67.38,1
62.97,45.76,32.09,30.88,66.35,8050.08,8279.66,69.05,1
57.49,46.65,30.74,26.75,63.83,7763.37,7919.55,65.50,1
61.90,46.56,33.72,28.18,67.99,8137.75,8352.62,70.27,0
58.74,45.13,32.04,26.70,60.54,7530.50,7720.77,62.63,1
57.96,44.63,30.77,27.20,58.92,7395.78,7536.71,60.44,1
56.90,43.06,31.22,25.68,54.05,6987.86,7110.83,55.24,1
61.36,47.24,31.96,29.40,69.07,8223.70,8443.87,71.69,1
61.33,48.16,31.94,29.39,72.42,8479.69,8648.26,74.49,1
58.60,46.03,33.69,24.91,63.25,7717.45,7906.32,65.00,1
59.10,44.15,32.23,26.87,57.72,7322.53,7549.26,60.32,1
62.01,44.13,33.54,28.47,61.81,7699.21,7827.14,63.22,0
60.99,43.35,33.51,27.47,58.14,7384.26,7562.63,60.02,0
61.49,46.63,32.24,29.24,68.38,8173.71,8321.01,69.99,1
60.46,45.85,34.01,26.45,64.80,7892.28,8053.41,66.56,1
61.12,47.42,32.97,28.15,69.91,8293.49,8461.30,71.96,1
62.12,45.28,35.46,26.66,64.65,7897.77,8095.25,66.67,1
59.32,44.24,31.67,27.65,58.92,7396.39,7588.13,60.79,0
60.34,45.20,33.59,26.75,62.29,7700.64,7898.20,64.55,1
63.03,46.90,34.01,29.02,69.22,8260.40,8543.33,72.59,1
62.29,48.48,34.41,27.89,76.16,8719.63,8825.97,76.65,0
60.06,46.20,33.06,27.00,66.74,8039.05,8086.07,67.13,1
63.53,45.13,36.54,27.00,67.56,8174.65,8204.88,67.74,1
60.00,44.44,33.64,26.36,61.20,7520.04,7701.40,62.04,1
61.35,45.59,33.63,27.73,63.42,7807.46,8083.11,66.78,1
60.31,46.45,33.04,27.27,65.92,7969.58,8165.61,68.14,1
60.15,46.06,33.22,26.93,65.72,7951.00,8065.36,66.82,1
58.26,45.92,31.27,27.00,61.32,7579.63,7842.63,64.34,1
58.47,43.74,30.78,27.69,56.91,7213.83,7397.79,58.56,1
59.06,44.93,30.27,28.80,59.99,7496.62,7706.89,62.42,1
60.53,45.40,34.54,26.00,63.49,7783.18,7963.88,65.33,0
60.74,45.97,33.92,26.83,66.11,7997.85,8107.20,67.22,1
56.04,47.70,31.20,24.84,64.86,7837.33,8001.81,66.77,1
61.40,46.81,32.47,28.93,68.88,8210.26,8354.61,70.46,1
58.19,43.83,31.24,26.95,57.27,7274.94,7392.45,58.54,1
63.14,44.52,35.71,27.43,65.00,7953.73,8029.92,65.54,1
62.06,45.73,34.93,27.13,66.65,8026.25,8188.48,67.96,1
61.92,45.76,35.12,26.80,67.28,8090.48,8180.92,67.89,1
60.99,45.97,32.68,28.31,65.64,7961.46,8128.14,67.50,1
64.33,45.43,34.84,29.49,68.41,8245.28,8345.01,69.51,1
59.51,44.15,30.03,29.48,59.36,7448.06,7586.18,60.75,1
60.76,43.13,31.02,29.74,57.31,7316.97,7488.89,59.17,1
62.67,44.56,35.98,26.70,63.37,7820.94,7994.25,65.16,1
60.64,44.98,32.59,28.05,62.35,7692.72,7877.45,64.25,1
58.88,48.58,32.47,26.41,70.02,8236.42,8488.57,72.77,1
59.35,45.78,31.70,27.65,63.56,7762.27,7919.63,65.12,0
57.67,43.33,32.22,25.45,55.17,7081.39,7241.90,56.70,1
58.84,42.68,32.84,26.00,54.44,7054.32,7217.93,56.12,1
58.24,44.63,30.77,27.47,59.51,7451.70,7563.08,60.73,1
58.61,46.54,31.69,26.93,65.65,7908.57,8012.21,66.49,1
62.08,47.70,33.34,28.74,71.12,8365.00,8624.50,73.96,1
61.74,47.38,32.76,28.97,70.81,8360.89,8514.55,72.55,1
57.65,43.56,31.47,26.18,54.91,7063.82,7285.15,57.28,1
58.35,43.27,32.95,25.39,54.62,7048.09,7295.51,57.20,1
59.12,43.71,29.79,29.32,57.58,7309.59,7453.55,59.13,1
57.15,45.29,32.13,25.03,59.24,7415.88,7602.58,61.39,1
59.76,46.71,31.31,28.45,65.86,7955.38,8163.29,68.28,1
60.34,46.45,33.09,27.25,66.13,7988.90,8168.45,68.17,0
60.46,45.35,31.52,28.95,65.20,7927.85,7938.41,65.12,1
57.61,43.02,29.93,27.68,54.28,7005.29,7167.35,55.83,1
59.88,44.79,33.71,26.18,62.21,7678.98,7765.90,62.91,1
56.42,44.58,29.97,26.45,57.36,7238.96,7376.37,58.71,1
62.26,48.98,34.60,27.66,75.28,8661.22,8937.04,78.20,1
62.40,44.15,35.03,27.37,62.85,7792.07,7874.85,63.69,0
60.13,44.94,30.21,29.92,61.14,7607.85,7813.66,63.57,1
59.87,44.52,31.94,27.93,60.23,7511.36,7701.70,62.14,1
57.58,44.26,31.94,25.64,56.75,7198.19,7425.22,59.05,1
59.37,45.23,34.09,25.28,62.44,7700.40,7812.07,63.60,0
58.55,44.07,31.85,26.70,57.69,7316.52,7477.34,59.53,1
61.83,44.68,33.59,28.24,62.86,7766.36,7930.13,64.62,0
61.52,44.23,33.83,27.69,60.24,7534.48,7803.19,63.02,0
61.60,43.51,35.71,25.89,59.94,7523.32,7661.50,61.05,1
60.24,43.85,34.04,26.20,59.15,7452.70,7599.96,60.65,1
65.03,47.90,34.79,30.24,76.05,8807.27,8979.70,78.12,1
59.19,48.87,30.22,28.97,70.96,8325.62,8580.67,74.03,0
58.80,43.73,33.41,25.39,57.35,7253.60,7435.63,58.87,1
62.08,44.86,33.47,28.61,62.43,7754.24,7994.23,65.42,1
59.44,43.33,34.26,25.18,55.69,7139.98,7415.34,58.44,1
60.31,45.18,32.32,27.99,62.02,7676.98,7886.16,64.45,1
62.35,47.78,34.69,27.66,71.30,8378.76,8674.76,74.53,0
60.56,47.95,34.34,26.22,70.12,8285.31,8527.22,72.90,0
58.21,46.38,31.77,26.45,64.36,7818.33,7935.98,65.55,1
61.55,44.97,35.67,25.88,64.29,7835.19,7973.60,65.17,0
59.13,43.79,31.72,27.41,57.53,7309.42,7474.96,59.37,0
61.81,47.45,35.09,26.72,70.93,8368.67,8545.97,72.86,1
61.33,46.14,34.71,26.62,67.51,8125.54,8205.24,68.37,0
59.94,46.85,30.72,29.22,66.27,7986.53,8212.07,68.90,0
61.35,46.28,31.94,29.42,67.51,8093.70,8229.97,68.80,1
59.62,45.48,33.12,26.50,63.29,7772.41,7886.31,64.57,1
58.03,44.86,31.41,26.62,58.69,7384.26,7594.42,61.15,1
58.85,45.18,35.03,23.82,60.08,7516.10,7756.91,62.91,1
60.61,48.50,33.31,27.30,71.74,8407.98,8652.78,74.66,1
60.84,46.76,32.49,28.35,66.61,7992.97,8285.38,69.65,1
62.36,45.45,32.04,30.32,64.61,7911.16,8149.70,67.46,0
